signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-07-01,2026-07-03,scalping,MPRO.JK,SCALPING_HIGH,8700.0,9000.0,9000.0,9000.0,3.45,3.45,W,W,evaluated
2026-07-02,2026-07-03,scalping,ARTA.JK,SCALPING_HIGH,2830.0,2980.0,2730.0,3250.0,14.84,-3.53,W,L,evaluated
2026-07-02,2026-07-03,scalping,ATIC.JK,SCALPING_HIGH,488.0,488.0,492.0,510.0,4.51,0.82,W,W,evaluated
2026-07-02,2026-07-03,scalping,BAPA.JK,SCALPING_HIGH,344.0,346.0,378.0,378.0,9.88,9.88,W,W,evaluated
2026-07-02,2026-07-03,scalping,BBRM.JK,SCALPING_HIGH,122.0,115.0,121.0,127.0,4.1,-0.82,W,L,evaluated
2026-07-02,2026-07-03,scalping,BGTG.JK,SCALPING_HIGH,112.0,110.0,110.0,113.0,0.89,-1.79,W,L,evaluated
2026-07-02,2026-07-03,scalping,BINA.JK,SCALPING_HIGH,3990.0,3990.0,3970.0,3990.0,0.0,-0.5,L,L,evaluated
2026-07-02,2026-07-03,scalping,BNBR.JK,SCALPING_HIGH,105.0,91.91,105.0,118.0,12.38,0.0,W,L,evaluated
2026-07-02,2026-07-03,scalping,CSAP.JK,SCALPING_HIGH,288.0,284.03,290.0,298.0,3.47,0.69,W,W,evaluated
2026-07-02,2026-07-03,scalping,FAST.JK,SCALPING_HIGH,248.0,256.0,258.0,260.0,4.84,4.03,W,W,evaluated
2026-07-02,2026-07-03,scalping,KBLI.JK,SCALPING_HIGH,314.0,330.0,318.0,330.0,5.1,1.27,W,W,evaluated
2026-07-02,2026-07-03,scalping,PADI.JK,SCALPING_HIGH,79.0,74.24,89.0,93.0,17.72,12.66,W,W,evaluated
2026-07-02,2026-07-03,scalping,PEGE.JK,SCALPING_HIGH,135.0,135.36,132.0,144.0,6.67,-2.22,W,L,evaluated
2026-07-02,2026-07-03,scalping,PKPK.JK,SCALPING_HIGH,3290.0,3340.0,3310.0,3380.0,2.74,0.61,W,W,evaluated
2026-07-02,2026-07-03,scalping,RANC.JK,SCALPING_HIGH,555.0,545.0,520.0,570.0,2.7,-6.31,W,L,evaluated
2026-07-02,2026-07-03,scalping,RICY.JK,SCALPING_HIGH,77.0,78.0,78.0,80.0,3.9,1.3,W,W,evaluated
2026-07-02,2026-07-03,scalping,TFCO.JK,SCALPING_HIGH,640.0,680.0,680.0,680.0,6.25,6.25,W,W,evaluated
2026-07-02,2026-07-03,scalping,TRUS.JK,SCALPING_HIGH,545.0,495.45,600.0,660.0,21.1,10.09,W,W,evaluated
2026-07-02,2026-07-03,scalping,PBSA.JK,SCALPING_HIGH,810.0,751.8,830.0,845.0,4.32,2.47,W,W,evaluated
2026-07-02,2026-07-03,scalping,MPRO.JK,SCALPING_HIGH,8700.0,9000.0,9000.0,9000.0,3.45,3.45,W,W,evaluated
2026-07-02,2026-07-03,scalping,BEEF.JK,SCALPING_HIGH,200.0,202.0,204.0,228.0,14.0,2.0,W,W,evaluated
2026-07-02,2026-07-03,scalping,COCO.JK,SCALPING_HIGH,232.0,153.76,290.0,290.0,25.0,25.0,W,W,evaluated
2026-07-02,2026-07-03,scalping,OPMS.JK,SCALPING_HIGH,99.0,100.0,97.0,101.0,2.02,-2.02,W,L,evaluated
2026-07-02,2026-07-03,scalping,SGER.JK,SCALPING_HIGH,414.0,416.0,408.0,426.0,2.9,-1.45,W,L,evaluated
2026-07-02,2026-07-03,scalping,HOPE.JK,SCALPING_HIGH,137.0,137.0,136.0,140.0,2.19,-0.73,W,L,evaluated
2026-07-02,2026-07-03,scalping,WGSH.JK,SCALPING_HIGH,130.0,131.0,137.0,138.0,6.15,5.38,W,W,evaluated
2026-07-02,2026-07-03,scalping,ELPI.JK,SCALPING_HIGH,1355.0,1137.15,1330.0,1385.0,2.21,-1.85,W,L,evaluated
2026-07-02,2026-07-03,scalping,CBUT.JK,SCALPING_HIGH,760.0,765.0,800.0,805.0,5.92,5.26,W,W,evaluated
2026-07-02,2026-07-03,scalping,CBRE.JK,SCALPING_HIGH,695.0,680.0,700.0,735.0,5.76,0.72,W,W,evaluated
2026-07-02,2026-07-03,scalping,BDKR.JK,SCALPING_HIGH,149.0,149.0,145.0,149.0,0.0,-2.68,L,L,evaluated
2026-07-02,2026-07-03,scalping,GRPM.JK,SCALPING_HIGH,306.0,300.0,308.0,336.0,9.8,0.65,W,W,evaluated
2026-07-02,2026-07-03,scalping,FOLK.JK,SCALPING_HIGH,214.0,214.0,212.0,220.0,2.8,-0.93,W,L,evaluated
2026-07-02,2026-07-03,scalping,MPIX.JK,SCALPING_HIGH,99.0,100.0,98.0,101.0,2.02,-1.01,W,L,evaluated
2026-07-02,2026-07-03,scalping,BAIK.JK,SCALPING_HIGH,645.0,645.0,620.0,650.0,0.78,-3.88,W,L,evaluated
2026-07-02,2026-07-03,scalping,RATU.JK,SCALPING_HIGH,5250.0,5350.0,5325.0,5450.0,3.81,1.43,W,W,evaluated
2026-07-02,2026-07-03,scalping,AYLS.JK,SCALPING_HIGH,162.0,169.0,159.0,170.0,4.94,-1.85,W,L,evaluated
